"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
" -> Pulaski County, Kentucky","","","","","","","","","","",""
"    Estimate","32,970","33,221","43.1","62,013","337","25","405","N","N","579","2,832"
"    Percent","49.8%","50.2%","(X)","93.7%","0.5%","0.0%","0.6%","N","N","0.9%","4.3%"
" -> Warren County, Kentucky","","","","","","","","","","",""
"    Estimate","68,843","73,386","33.0","107,804","12,149","963","5,191","N","N","4,420","11,702"
"    Percent","48.4%","51.6%","(X)","75.8%","8.5%","0.7%","3.6%","N","N","3.1%","8.2%"
" -> Ascension Parish, Louisiana","","","","","","","","","","",""
"    Estimate","64,926","66,706","37.3","83,790","27,653","558","1,573","N","N","2,396","15,662"
"    Percent","49.3%","50.7%","(X)","63.7%","21.0%","0.4%","1.2%","N","N","1.8%","11.9%"
" -> Bossier Parish, Louisiana","","","","","","","","","","",""
"    Estimate","64,424","65,371","38.8","79,857","30,884","173","2,610","N","N","2,712","13,559"
"    Percent","49.6%","50.4%","(X)","61.5%","23.8%","0.1%","2.0%","N","N","2.1%","10.4%"
" -> Caddo Parish, Louisiana","","","","","","","","","","",""
"    Estimate","106,549","119,837","40.4","95,288","111,354","787","2,664","0","86","4,789","11,504"
"    Percent","47.1%","52.9%","(X)","42.1%","49.2%","0.3%","1.2%","0.0%","0.0%","2.1%","5.1%"
" -> Calcasieu Parish, Louisiana","","","","","","","","","","",""
"    Estimate","100,427","103,334","38.0","133,234","42,638","911","2,979","54","219","2,831","21,168"
"    Percent","49.3%","50.7%","(X)","65.4%","20.9%","0.4%","1.5%","0.0%","0.1%","1.4%","10.4%"
" -> East Baton Rouge Parish, Louisiana","","","","","","","","","","",""
"    Estimate","214,236","234,231","34.6","188,433","193,498","1,174","14,888","3,707","85","20,540","29,669"
"    Percent","47.8%","52.2%","(X)","42.0%","43.1%","0.3%","3.3%","0.8%","0.0%","4.6%","6.6%"
" -> Iberia Parish, Louisiana","","","","","","","","","","",""
"    Estimate","33,226","34,433","40.4","39,279","21,287","361","1,886","N","N","529","4,273"
"    Percent","49.1%","50.9%","(X)","58.1%","31.5%","0.5%","2.8%","N","N","0.8%","6.3%"
" -> Jefferson Parish, Louisiana","","","","","","","","","","",""
"    Estimate","205,317","216,460","40.2","205,521","107,947","7,176","17,991","2,621","396","27,949","55,193"
"    Percent","48.7%","51.3%","(X)","48.7%","25.6%","1.7%","4.3%","0.6%","0.1%","6.6%","13.1%"
" -> Lafayette Parish, Louisiana","","","","","","","","","","",""
"    Estimate","121,250","128,500","37.1","155,367","64,444","340","5,311","449","0","2,330","21,860"
"    Percent","48.5%","51.5%","(X)","62.2%","25.8%","0.1%","2.1%","0.2%","0.0%","0.9%","8.8%"
" -> Lafourche Parish, Louisiana","","","","","","","","","","",""
"    Estimate","47,275","47,781","40.0","71,306","13,243","4,265","230","N","N","818","5,194"
"    Percent","49.7%","50.3%","(X)","75.0%","13.9%","4.5%","0.2%","N","N","0.9%","5.5%"
" -> Livingston Parish, Louisiana","","","","","","","","","","",""
"    Estimate","73,827","76,318","36.1","119,446","10,679","1,225","1,003","N","N","7,050","10,742"
"    Percent","49.2%","50.8%","(X)","79.6%","7.1%","0.8%","0.7%","N","N","4.7%","7.2%"
" -> Orleans Parish, Louisiana","","","","","","","","","","",""
"    Estimate","170,883","193,253","39.5","113,680","198,422","1,236","10,516","1,408","0","8,516","31,766"
"    Percent","46.9%","53.1%","(X)","31.2%","54.5%","0.3%","2.9%","0.4%","0.0%","2.3%","8.7%"
" -> Ouachita Parish, Louisiana","","","","","","","","","","",""
"    Estimate","74,940","82,628","36.6","88,929","55,754","1,284","1,557","N","N","1,419","8,625"
"    Percent","47.6%","52.4%","(X)","56.4%","35.4%","0.8%","1.0%","N","N","0.9%","5.5%"
" -> Rapides Parish, Louisiana","","","","","","","","","","",""
"    Estimate","62,205","64,055","38.4","76,013","38,521","1,604","1,899","N","N","1,339","6,884"
"    Percent","49.3%","50.7%","(X)","60.2%","30.5%","1.3%","1.5%","N","N","1.1%","5.5%"
" -> St. Landry Parish, Louisiana","","","","","","","","","","",""
"    Estimate","39,128","42,336","37.7","43,426","31,842","156","441","N","N","1,683","3,672"
"    Percent","48.0%","52.0%","(X)","53.3%","39.1%","0.2%","0.5%","N","N","2.1%","4.5%"
" -> St. Tammany Parish, Louisiana","","","","","","","","","","",""
"    Estimate","135,517","140,066","40.8","202,896","34,724","679","2,888","N","N","3,664","30,575"
"    Percent","49.2%","50.8%","(X)","73.6%","12.6%","0.2%","1.0%","N","N","1.3%","11.1%"
" -> Tangipahoa Parish, Louisiana","","","","","","","","","","",""
"    Estimate","66,785","71,279","36.8","84,641","37,799","196","961","N","N","777","13,690"
"    Percent","48.4%","51.6%","(X)","61.3%","27.4%","0.1%","0.7%","N","N","0.6%","9.9%"
" -> Terrebonne Parish, Louisiana","","","","","","","","","","",""
"    Estimate","52,850","50,766","37.9","66,140","19,207","5,798","1,259","N","N","2,389","8,823"
"    Percent","51.0%","49.0%","(X)","63.8%","18.5%","5.6%","1.2%","N","N","2.3%","8.5%"
" -> Androscoggin County, Maine","","","","","","","","","","",""
"    Estimate","56,059","57,706","40.7","98,776","6,975","682","1,425","N","N","827","5,080"
"    Percent","49.3%","50.7%","(X)","86.8%","6.1%","0.6%","1.3%","N","N","0.7%","4.5%"
" -> Aroostook County, Maine","","","","","","","","","","",""
"    Estimate","33,812","33,539","47.5","62,566","582","542","316","N","N","92","3,125"
"    Percent","50.2%","49.8%","(X)","92.9%","0.9%","0.8%","0.5%","N","N","0.1%","4.6%"
" -> Cumberland County, Maine","","","","","","","","","","",""
"    Estimate","150,563","159,667","42.5","265,205","9,882","711","6,828","835","517","2,040","25,529"
"    Percent","48.5%","51.5%","(X)","85.5%","3.2%","0.2%","2.2%","0.3%","0.2%","0.7%","8.2%"
" -> Kennebec County, Maine","","","","","","","","","","",""
"    Estimate","62,353","64,906","44.1","118,170","722","171","852","N","N","1,050","6,294"
"    Percent","49.0%","51.0%","(X)","92.9%","0.6%","0.1%","0.7%","N","N","0.8%","4.9%"
" -> Penobscot County, Maine","","","","","","","","","","",""
"    Estimate","76,852","78,460","42.7","142,650","1,931","801","2,298","N","N","973","6,335"
"    Percent","49.5%","50.5%","(X)","91.8%","1.2%","0.5%","1.5%","N","N","0.6%","4.1%"
" -> York County, Maine","","","","","","","","","","",""
"    Estimate","107,466","111,120","45.7","195,902","2,855","495","2,403","433","85","1,736","15,020"
"    Percent","49.2%","50.8%","(X)","89.6%","1.3%","0.2%","1.1%","0.2%","0.0%","0.8%","6.9%"
" -> Allegany County, Maryland","","","","","","","","","","",""
"    Estimate","34,842","32,431","42.2","56,992","4,770","230","867","N","N","2,125","2,289"
"    Percent","51.8%","48.2%","(X)","84.7%","7.1%","0.3%","1.3%","N","N","3.2%","3.4%"
" -> Anne Arundel County, Maryland","","","","","","","","","","",""
"    Estimate","293,586","300,996","39.6","370,024","105,660","3,388","25,754","3,528","590","36,599","52,959"
"    Percent","49.4%","50.6%","(X)","62.2%","17.8%","0.6%","4.3%","0.6%","0.1%","6.2%","8.9%"
" -> Baltimore County, Maryland","","","","","","","","","","",""
"    Estimate","401,223","443,480","39.8","439,705","256,949","2,200","52,436","9,544","259","33,006","59,900"
"    Percent","47.5%","52.5%","(X)","52.1%","30.4%","0.3%","6.2%","1.1%","0.0%","3.9%","7.1%"
" -> Calvert County, Maryland","","","","","","","","","","",""
"    Estimate","46,204","48,524","39.9","69,124","11,473","98","1,933","N","N","1,842","10,258"
"    Percent","48.8%","51.2%","(X)","73.0%","12.1%","0.1%","2.0%","N","N","1.9%","10.8%"
" -> Carroll County, Maryland","","","","","","","","","","",""
"    Estimate","87,810","88,829","40.9","151,258","5,850","435","4,900","N","N","4,429","9,756"
"    Percent","49.7%","50.3%","(X)","85.6%","3.3%","0.2%","2.8%","N","N","2.5%","5.5%"
" -> Cecil County, Maryland","","","","","","","","","","",""
"    Estimate","53,072","52,600","41.2","87,365","8,373","257","1,282","N","N","719","7,676"
"    Percent","50.2%","49.8%","(X)","82.7%","7.9%","0.2%","1.2%","N","N","0.7%","7.3%"
" -> Charles County, Maryland","","","","","","","","","","",""
"    Estimate","82,875","89,098","39.2","55,869","86,330","779","5,170","N","N","4,558","18,899"
"    Percent","48.2%","51.8%","(X)","32.5%","50.2%","0.5%","3.0%","N","N","2.7%","11.0%"
" -> Frederick County, Maryland","","","","","","","","","","",""
"    Estimate","145,292","148,099","38.8","194,575","28,679","2,053","19,472","1,793","266","18,632","29,480"
"    Percent","49.5%","50.5%","(X)","66.3%","9.8%","0.7%","6.6%","0.6%","0.1%","6.4%","10.0%"
" -> Harford County, Maryland","","","","","","","","","","",""
"    Estimate","130,348","134,296","41.0","192,486","37,895","518","6,999","1,771","0","7,842","18,904"
"    Percent","49.3%","50.7%","(X)","72.7%","14.3%","0.2%","2.6%","0.7%","0.0%","3.0%","7.1%"
" -> Howard County, Maryland","","","","","","","","","","",""
"    Estimate","164,830","171,171","40.2","156,819","66,653","2,440","66,847","12,665","188","15,628","27,614"
"    Percent","49.1%","50.9%","(X)","46.7%","19.8%","0.7%","19.9%","3.8%","0.1%","4.7%","8.2%"
" -> Montgomery County, Maryland","","","","","","","","","","",""
"    Estimate","515,740","542,734","40.6","442,729","200,386","7,637","158,558","41,701","4,320","122,861","125,866"
"    Percent","48.7%","51.3%","(X)","41.8%","18.9%","0.7%","15.0%","3.9%","0.4%","11.6%","11.9%"
" -> Prince George's County, Maryland","","","","","","","","","","",""
"    Estimate","458,347","489,083","39.1","115,475","556,912","8,146","37,477","6,941","255","143,854","84,554"
"    Percent","48.4%","51.6%","(X)","12.2%","58.8%","0.9%","4.0%","0.7%","0.0%","15.2%","8.9%"
" -> St. Mary's County, Maryland","","","","","","","","","","",""
"    Estimate","57,119","58,162","38.7","81,692","18,163","488","3,445","N","N","3,957","7,536"
"    Percent","49.5%","50.5%","(X)","70.9%","15.8%","0.4%","3.0%","N","N","3.4%","6.5%"
" -> Washington County, Maryland","","","","","","","","","","",""
"    Estimate","78,944","76,869","40.6","114,827","16,511","688","2,449","N","N","4,868","16,470"
"    Percent","50.7%","49.3%","(X)","73.7%","10.6%","0.4%","1.6%","N","N","3.1%","10.6%"
" -> Wicomico County, Maryland","","","","","","","","","","",""
"    Estimate","50,218","54,582","37.0","61,217","26,493","79","3,516","N","N","2,068","11,427"
"    Percent","47.9%","52.1%","(X)","58.4%","25.3%","0.1%","3.4%","N","N","2.0%","10.9%"
" -> Baltimore city, Maryland","","","","","","","","","","",""
"    Estimate","260,417","304,822","36.5","151,377","333,657","3,575","15,379","3,810","705","29,581","31,607"
"    Percent","46.1%","53.9%","(X)","26.8%","59.0%","0.6%","2.7%","0.7%","0.1%","5.2%","5.6%"
" -> Barnstable County, Massachusetts","","","","","","","","","","",""
"    Estimate","111,826","119,909","56.3","201,207","5,528","2,224","3,957","1,405","24","2,370","16,449"
"    Percent","48.3%","51.7%","(X)","86.8%","2.4%","1.0%","1.7%","0.6%","0.0%","1.0%","7.1%"
" -> Berkshire County, Massachusetts","","","","","","","","","","",""
"    Estimate","62,257","64,561","48.4","108,234","2,790","501","2,766","746","46","3,740","8,724"
"    Percent","49.1%","50.9%","(X)","85.3%","2.2%","0.4%","2.2%","0.6%","0.0%","2.9%","6.9%"
" -> Bristol County, Massachusetts","","","","","","","","","","",""
"    Estimate","284,740","297,101","40.8","444,588","28,671","1,423","15,186","2,113","133","35,992","55,632"
"    Percent","48.9%","51.1%","(X)","76.4%","4.9%","0.2%","2.6%","0.4%","0.0%","6.2%","9.6%"
" -> Essex County, Massachusetts","","","","","","","","","","",""
"    Estimate","393,095","416,994","41.7","543,983","32,248","2,996","28,225","7,460","924","114,041","88,379"
"    Percent","48.5%","51.5%","(X)","67.2%","4.0%","0.4%","3.5%","0.9%","0.1%","14.1%","10.9%"
" -> Franklin County, Massachusetts","","","","","","","","","","",""
"    Estimate","35,013","35,823","47.7","62,008","1,296","264","1,289","N","N","1,630","4,349"
"    Percent","49.4%","50.6%","(X)","87.5%","1.8%","0.4%","1.8%","N","N","2.3%","6.1%"
" -> Hampden County, Massachusetts","","","","","","","","","","",""
"    Estimate","224,545","235,746","39.9","292,606","40,538","1,578","10,452","631","34","40,230","74,610"
"    Percent","48.8%","51.2%","(X)","63.6%","8.8%","0.3%","2.3%","0.1%","0.0%","8.7%","16.2%"
" -> Hampshire County, Massachusetts","","","","","","","","","","",""
"    Estimate","74,351","88,151","36.8","132,425","4,344","414","9,852","3,768","389","2,838","12,629"
"    Percent","45.8%","54.2%","(X)","81.5%","2.7%","0.3%","6.1%","2.3%","0.2%","1.7%","7.8%"
" -> Middlesex County, Massachusetts","","","","","","","","","","",""
"    Estimate","801,443","822,509","39.2","1,062,813","87,464","4,042","222,089","79,223","5,200","80,782","165,679"
"    Percent","49.4%","50.6%","(X)","65.4%","5.4%","0.2%","13.7%","4.9%","0.3%","5.0%","10.2%"
" -> Norfolk County, Massachusetts","","","","","","","","","","",""
"    Estimate","352,267","375,206","41.1","498,068","57,923","775","92,613","46,657","1,339","22,064","55,825"
"    Percent","48.4%","51.6%","(X)","68.5%","8.0%","0.1%","12.7%","6.4%","0.2%","3.0%","7.7%"
" -> Plymouth County, Massachusetts","","","","","","","","","","",""
"    Estimate","261,175","274,133","43.2","406,038","47,617","1,338","9,798","4,058","151","29,379","41,138"
"    Percent","48.8%","51.2%","(X)","75.9%","8.9%","0.2%","1.8%","0.8%","0.0%","5.5%","7.7%"
" -> Suffolk County, Massachusetts","","","","","","","","","","",""
"    Estimate","370,838","397,587","34.3","353,364","139,739","1,566","72,175","29,942","943","70,519","130,359"
"    Percent","48.3%","51.7%","(X)","46.0%","18.2%","0.2%","9.4%","3.9%","0.1%","9.2%","17.0%"
" -> Worcester County, Massachusetts","","","","","","","","","","",""
"    Estimate","430,806","436,060","40.5","617,900","42,403","2,417","46,978","7,629","484","42,120","114,790"
"    Percent","49.7%","50.3%","(X)","71.3%","4.9%","0.3%","5.4%","0.9%","0.1%","4.9%","13.2%"
" -> Allegan County, Michigan","","","","","","","","","","",""
"    Estimate","61,475","60,464","41.3","106,938","1,872","356","913","N","N","3,733","8,127"
"    Percent","50.4%","49.6%","(X)","87.7%","1.5%","0.3%","0.7%","N","N","3.1%","6.7%"
" -> Bay County, Michigan","","","","","","","","","","",""
"    Estimate","49,802","52,698","44.4","94,218","2,229","192","202","N","N","599","5,060"
"    Percent","48.6%","51.4%","(X)","91.9%","2.2%","0.2%","0.2%","N","N","0.6%","4.9%"
" -> Berrien County, Michigan","","","","","","","","","","",""
"    Estimate","73,781","78,480","43.0","112,363","18,521","392","3,411","802","17","5,306","12,268"
"    Percent","48.5%","51.5%","(X)","73.8%","12.2%","0.3%","2.2%","0.5%","0.0%","3.5%","8.1%"
" -> Calhoun County, Michigan","","","","","","","","","","",""
"    Estimate","64,674","68,692","40.3","99,897","14,583","445","3,224","N","N","2,014","13,017"
"    Percent","48.5%","51.5%","(X)","74.9%","10.9%","0.3%","2.4%","N","N","1.5%","9.8%"
" -> Clinton County, Michigan","","","","","","","","","","",""
"    Estimate","39,896","39,824","42.5","70,540","1,723","171","1,546","321","31","2,256","3,484"
"    Percent","50.0%","50.0%","(X)","88.5%","2.2%","0.2%","1.9%","0.4%","0.0%","2.8%","4.4%"
" -> Eaton County, Michigan","","","","","","","","","","",""
"    Estimate","53,970","54,850","41.4","88,098","6,540","64","2,448","31","0","3,135","8,535"
"    Percent","49.6%","50.4%","(X)","81.0%","6.0%","0.1%","2.2%","0.0%","0.0%","2.9%","7.8%"
" -> Genesee County, Michigan","","","","","","","","","","",""
"    Estimate","195,356","206,166","41.0","291,331","78,554","1,339","3,399","N","N","3,453","23,349"
"    Percent","48.7%","51.3%","(X)","72.6%","19.6%","0.3%","0.8%","N","N","0.9%","5.8%"
" -> Grand Traverse County, Michigan","","","","","","","","","","",""
"    Estimate","47,475","48,946","42.9","88,003","605","462","478","N","N","1,101","5,772"
"    Percent","49.2%","50.8%","(X)","91.3%","0.6%","0.5%","0.5%","N","N","1.1%","6.0%"
" -> Ingham County, Michigan","","","","","","","","","","",""
"    Estimate","138,202","146,435","33.0","197,630","31,772","1,311","18,168","3,856","104","5,479","30,062"
"    Percent","48.6%","51.4%","(X)","69.4%","11.2%","0.5%","6.4%","1.4%","0.0%","1.9%","10.6%"
" -> Ionia County, Michigan","","","","","","","","","","",""
"    Estimate","35,215","31,047","37.8","58,743","1,693","420","344","N","N","535","4,527"
"    Percent","53.1%","46.9%","(X)","88.7%","2.6%","0.6%","0.5%","N","N","0.8%","6.8%"
" -> Jackson County, Michigan","","","","","","","","","","",""
"    Estimate","82,509","76,915","41.6","131,420","11,158","267","1,100","N","N","2,310","13,124"
"    Percent","51.8%","48.2%","(X)","82.4%","7.0%","0.2%","0.7%","N","N","1.4%","8.2%"
" -> Kalamazoo County, Michigan","","","","","","","","","","",""
